,census_tract,population,female_population,median_household_income,0_to_9_years_old,10_to_19_years_old,20_to_29_years_old,30_to_39_years_old,40_to_49_years_old,50_to_59_years_old,60_to_69_years_old,70_to_79_years_old,80_years_old_and_older,total_households,households_whose_annual_income_less_than_10000_dollars,households_whose_annual_income_between_10000_and_50000_dollars,households_whose_annual_income_between_50000_and_200000_dollars,households_whose_annual_income_greater_than_200000_dollars,total_workforce,workforce_in_labor,healthcare_worker,commuting_by_car_or_truck_or_van,commuting_by_public_transportation_except_taxicabs,commuting_by_walk,commuting_by_taxicab_or_motorcycle_or_bicycle_or_other_means,commuting_time_less_than_20_minutes,commuting_time_between_20_and_60_minutes,commuting_time_over_60_minutes,white,black_or_african_american,american_indian_and_alaska_native,asian,non_hispanic_white,hispanic_or_latino,no_schooling_completed,high_schooling_graduate,bachelor's_degree,occupied_housing_units,owner_occupied_housing_units,no_health_insurance_covered
1042,48113017400,5564,3117,,876.0,818.0,743.0,610.0,643.0,937.0,523.0,254.0,160.0,1706.0,74.0,837.0,783.0,12.0,4152.0,2574.0,255.0,2122.0,0.0,0.0,90.0,574.0,1398.0,240.0,4336.0,1070.0,6.0,0.0,2669.0,1777.0,55.0,1167.0,253.0,7867.0,7859.0,1335.0
1043,48085030527,5010,2415,,888.0,786.0,483.0,831.0,957.0,482.0,352.0,137.0,94.0,1511.0,20.0,163.0,1194.0,134.0,3602.0,2737.0,356.0,2218.0,0.0,0.0,30.0,548.0,1320.0,380.0,4038.0,585.0,0.0,267.0,3535.0,564.0,0.0,479.0,1046.0,4010.0,4010.0,328.0
1044,48439113808,6447,3232,,500.0,1406.0,757.0,891.0,823.0,1152.0,601.0,194.0,123.0,2251.0,75.0,575.0,1562.0,39.0,5222.0,3570.0,252.0,3063.0,22.0,0.0,0.0,804.0,2115.0,166.0,5731.0,10.0,38.0,327.0,4799.0,1186.0,68.0,1252.0,559.0,7931.0,7934.0,1007.0
1045,48113016413,6609,3410,,741.0,1004.0,870.0,861.0,915.0,1059.0,792.0,259.0,108.0,2150.0,91.0,354.0,1567.0,138.0,5392.0,3933.0,712.0,3367.0,0.0,0.0,110.0,620.0,2412.0,445.0,3231.0,1981.0,11.0,1027.0,1602.0,1916.0,0.0,893.0,1177.0,5994.0,5998.0,590.0
1046,48439110401,4806,2538,,658.0,525.0,635.0,485.0,783.0,704.0,398.0,373.0,245.0,1633.0,55.0,687.0,883.0,8.0,3795.0,2402.0,252.0,2062.0,9.0,14.0,27.0,763.0,1288.0,61.0,4395.0,58.0,8.0,9.0,3119.0,1579.0,134.0,1334.0,214.0,7833.0,7831.0,871.0
1047,48113003700,3173,1501,,541.0,251.0,485.0,244.0,399.0,447.0,421.0,226.0,159.0,1237.0,177.0,856.0,188.0,16.0,2504.0,1263.0,104.0,888.0,143.0,52.0,8.0,151.0,893.0,47.0,807.0,2334.0,7.0,0.0,46.0,815.0,45.0,825.0,195.0,7772.0,7765.0,996.0
1048,48085031657,2359,1042,,51.0,139.0,912.0,641.0,338.0,218.0,48.0,12.0,0.0,1594.0,130.0,384.0,1006.0,74.0,2262.0,1878.0,94.0,1566.0,0.0,86.0,26.0,731.0,865.0,82.0,1654.0,166.0,17.0,441.0,1506.0,193.0,0.0,156.0,925.0,4013.0,2012.0,247.0
1049,48439121610,2349,1116,,291.0,279.0,296.0,305.0,288.0,305.0,412.0,121.0,52.0,921.0,30.0,240.0,610.0,41.0,1892.0,1257.0,138.0,1060.0,0.0,21.0,4.0,274.0,685.0,126.0,2047.0,215.0,0.0,26.0,1899.0,158.0,7.0,326.0,459.0,3955.0,3954.0,205.0
1050,48113003902,1835,946,,194.0,282.0,213.0,346.0,231.0,223.0,220.0,46.0,80.0,667.0,119.0,401.0,147.0,0.0,1401.0,694.0,75.0,470.0,59.0,0.0,21.0,212.0,264.0,74.0,602.0,1075.0,0.0,0.0,161.0,569.0,19.0,332.0,65.0,3899.0,3899.0,678.0
1051,48113016202,7023,3672,,1154.0,1063.0,1139.0,690.0,1377.0,628.0,468.0,416.0,88.0,2091.0,200.0,1026.0,853.0,12.0,5368.0,3400.0,195.0,2546.0,34.0,53.0,361.0,811.0,1951.0,232.0,5984.0,710.0,0.0,44.0,1667.0,4600.0,106.0,1555.0,279.0,7912.0,5907.0,2116.0
1052,48439105901,3947,1951,,725.0,668.0,612.0,486.0,549.0,509.0,239.0,83.0,76.0,1115.0,106.0,653.0,341.0,15.0,2835.0,1883.0,203.0,1610.0,5.0,22.0,12.0,611.0,824.0,214.0,2102.0,629.0,0.0,0.0,277.0,3041.0,104.0,699.0,51.0,5871.0,5861.0,1348.0
1053,48121021513,3826,1931,,432.0,522.0,237.0,481.0,576.0,765.0,461.0,302.0,50.0,1357.0,0.0,160.0,886.0,311.0,2991.0,2053.0,290.0,1715.0,0.0,18.0,7.0,505.0,1089.0,146.0,3611.0,21.0,14.0,112.0,3372.0,287.0,0.0,453.0,973.0,5945.0,5946.0,270.0
1054,48439104604,3042,1712,,606.0,584.0,438.0,436.0,408.0,229.0,199.0,121.0,21.0,972.0,237.0,487.0,248.0,0.0,2033.0,1066.0,232.0,917.0,16.0,0.0,11.0,328.0,563.0,53.0,716.0,1750.0,0.0,0.0,15.0,1265.0,18.0,510.0,95.0,3919.0,3911.0,912.0
1055,48113007812,2910,1462,,409.0,292.0,87.0,399.0,465.0,488.0,458.0,191.0,121.0,1130.0,14.0,43.0,639.0,434.0,2308.0,1493.0,199.0,1188.0,8.0,0.0,0.0,376.0,801.0,19.0,2497.0,83.0,5.0,275.0,2379.0,157.0,0.0,53.0,955.0,3957.0,3957.0,30.0
1056,48113019041,3058,1655,,181.0,393.0,322.0,373.0,371.0,597.0,464.0,262.0,95.0,1184.0,35.0,207.0,859.0,83.0,2639.0,1627.0,191.0,1298.0,77.0,12.0,0.0,631.0,721.0,35.0,1866.0,458.0,0.0,448.0,1620.0,298.0,17.0,396.0,917.0,5927.0,5926.0,330.0
1057,48439102601,3724,2071,,355.0,545.0,717.0,666.0,404.0,421.0,333.0,185.0,98.0,1641.0,117.0,840.0,654.0,30.0,3082.0,2171.0,233.0,1852.0,7.0,54.0,72.0,1257.0,689.0,39.0,2450.0,393.0,130.0,74.0,1506.0,1588.0,39.0,826.0,321.0,5884.0,5863.0,1527.0
1058,48439113920,5873,2907,,956.0,1236.0,603.0,833.0,989.0,753.0,349.0,130.0,24.0,1694.0,23.0,157.0,1431.0,83.0,4047.0,3077.0,411.0,2654.0,16.0,29.0,45.0,790.0,1648.0,306.0,4340.0,432.0,7.0,584.0,3877.0,624.0,18.0,680.0,912.0,4003.0,4001.0,435.0
1059,48113011702,5927,3011,,1200.0,1092.0,661.0,912.0,904.0,497.0,339.0,268.0,54.0,1468.0,154.0,882.0,422.0,10.0,4008.0,2222.0,141.0,1819.0,41.0,0.0,81.0,473.0,1246.0,222.0,4636.0,649.0,0.0,89.0,464.0,4635.0,112.0,915.0,160.0,5900.0,5902.0,2371.0
1060,48439113407,6044,2834,,1452.0,651.0,1085.0,1075.0,819.0,440.0,293.0,202.0,27.0,1823.0,101.0,928.0,675.0,119.0,4119.0,3034.0,274.0,2438.0,33.0,94.0,44.0,983.0,1427.0,199.0,4622.0,498.0,38.0,89.0,2314.0,2956.0,55.0,1041.0,439.0,5925.0,5926.0,2383.0
1061,48251130302,5262,2433,,772.0,558.0,935.0,694.0,627.0,653.0,406.0,359.0,258.0,1914.0,98.0,927.0,857.0,32.0,4098.0,2425.0,210.0,2072.0,0.0,38.0,59.0,1139.0,869.0,161.0,4902.0,177.0,12.0,0.0,3968.0,1009.0,45.0,1334.0,404.0,5966.0,5973.0,1099.0
1062,48439113923,3668,1753,,458.0,596.0,691.0,481.0,707.0,504.0,162.0,47.0,22.0,1474.0,39.0,217.0,1072.0,146.0,2843.0,2306.0,224.0,1934.0,0.0,23.0,12.0,445.0,1363.0,161.0,2431.0,159.0,0.0,426.0,1760.0,1162.0,10.0,244.0,795.0,4009.0,4008.0,385.0
1063,48113001400,3786,1791,,531.0,180.0,964.0,833.0,377.0,419.0,342.0,105.0,35.0,1727.0,187.0,867.0,588.0,85.0,3110.0,2187.0,242.0,1449.0,260.0,101.0,83.0,931.0,848.0,114.0,3072.0,392.0,0.0,162.0,1641.0,1523.0,0.0,412.0,601.0,7839.0,5817.0,1202.0
1064,48251130204,11384,5991,,2227.0,1568.0,1658.0,1711.0,1324.0,1238.0,1009.0,416.0,233.0,3720.0,117.0,1257.0,2260.0,86.0,8074.0,5678.0,635.0,4911.0,33.0,18.0,49.0,1559.0,3016.0,436.0,10832.0,104.0,68.0,139.0,9713.0,1139.0,61.0,2368.0,919.0,5946.0,5945.0,1773.0
1065,48439111550,13806,6760,,2163.0,2810.0,1707.0,2034.0,2736.0,1364.0,705.0,246.0,41.0,3717.0,57.0,774.0,2749.0,137.0,9964.0,7404.0,938.0,6520.0,9.0,26.0,171.0,1936.0,3999.0,791.0,5710.0,5206.0,50.0,1385.0,4014.0,2807.0,86.0,1580.0,1932.0,4006.0,4006.0,1753.0
1066,48085031664,4002,1946,,378.0,778.0,341.0,310.0,611.0,849.0,623.0,51.0,61.0,1292.0,0.0,158.0,774.0,360.0,3214.0,2231.0,128.0,1822.0,22.0,0.0,26.0,604.0,1056.0,210.0,2682.0,183.0,13.0,1056.0,2505.0,177.0,0.0,202.0,1169.0,3988.0,1993.0,261.0
1067,48439113624,4786,2392,,603.0,686.0,489.0,516.0,913.0,760.0,566.0,169.0,84.0,1666.0,25.0,296.0,1289.0,56.0,3792.0,2773.0,283.0,2360.0,0.0,69.0,46.0,1038.0,1377.0,60.0,3960.0,89.0,0.0,424.0,3267.0,890.0,12.0,621.0,945.0,5948.0,5948.0,454.0
1068,48113004201,4057,1875,,526.0,611.0,389.0,708.0,783.0,386.0,292.0,297.0,65.0,1606.0,140.0,622.0,691.0,153.0,3208.0,2142.0,213.0,1737.0,91.0,0.0,14.0,927.0,849.0,66.0,3316.0,306.0,23.0,64.0,1149.0,2504.0,67.0,592.0,515.0,9737.0,9737.0,916.0
1069,48113018505,4287,2216,,940.0,504.0,953.0,719.0,606.0,276.0,181.0,75.0,33.0,1680.0,161.0,1188.0,331.0,0.0,3101.0,2242.0,281.0,1832.0,178.0,24.0,4.0,662.0,1167.0,209.0,2130.0,1643.0,10.0,144.0,552.0,1874.0,35.0,791.0,323.0,3959.0,1982.0,1481.0
1070,48085031411,5671,2722,,946.0,1026.0,310.0,863.0,1004.0,815.0,367.0,198.0,142.0,1641.0,11.0,153.0,1306.0,171.0,4151.0,3039.0,331.0,2346.0,50.0,23.0,36.0,735.0,1494.0,226.0,3402.0,889.0,79.0,1025.0,3045.0,497.0,31.0,551.0,1368.0,4002.0,4002.0,717.0
1071,48139060204,9425,4533,,1375.0,1466.0,1137.0,1305.0,1185.0,1391.0,836.0,500.0,230.0,3076.0,82.0,571.0,2256.0,167.0,7081.0,4981.0,474.0,4220.0,1.0,4.0,37.0,1212.0,2773.0,277.0,6815.0,1992.0,114.0,12.0,5375.0,1727.0,40.0,1214.0,1327.0,9972.0,9976.0,1388.0
1072,48121021616,4211,2262,,662.0,328.0,754.0,915.0,540.0,551.0,310.0,143.0,8.0,1903.0,151.0,938.0,800.0,14.0,3303.0,2706.0,328.0,2358.0,41.0,0.0,12.0,720.0,1549.0,142.0,2271.0,1128.0,0.0,261.0,1537.0,1163.0,58.0,641.0,579.0,5951.0,5954.0,886.0
1073,48085031627,5325,2613,,528.0,558.0,723.0,574.0,857.0,770.0,768.0,431.0,116.0,1877.0,39.0,432.0,1235.0,171.0,4467.0,2927.0,216.0,2440.0,41.0,64.0,25.0,1107.0,1289.0,174.0,4257.0,594.0,35.0,262.0,3583.0,830.0,8.0,662.0,1058.0,7909.0,7907.0,670.0
1074,48121021621,3782,1876,,349.0,414.0,249.0,450.0,424.0,893.0,668.0,240.0,95.0,1343.0,20.0,158.0,903.0,262.0,3271.0,2243.0,216.0,1894.0,25.0,0.0,18.0,685.0,1172.0,80.0,2786.0,312.0,7.0,479.0,2440.0,391.0,77.0,330.0,1098.0,3974.0,3975.0,251.0
1075,48113013009,5147,2638,,934.0,790.0,753.0,686.0,809.0,388.0,470.0,180.0,137.0,1798.0,95.0,772.0,819.0,112.0,3701.0,2568.0,457.0,2184.0,86.0,20.0,0.0,750.0,1448.0,92.0,2985.0,1647.0,0.0,56.0,2130.0,1259.0,19.0,349.0,873.0,5915.0,1966.0,877.0
